empresa_grupo,anio,petroleo_m3,gas_mm3,boe,pozos
YPF,2025,15746024.45,6739814.35,39769589777.0,1921
YPF,2024,12533379.22,5986053.2,35312744075.0,1678
Tecpetrol,2025,957758.324867,5995221.896296,35293900384.0,219
Tecpetrol,2024,682756.026466,5876715.640843,34594642791.0,192
YPF,2022,8117446.68,5667254.9,33408521077.0,1141
Tecpetrol,2023,576325.113562,5612806.241698,33040602619.0,159
Tecpetrol,2022,351728.756305,5595556.864411,32937660079.0,142
YPF,2023,10342157.56,5546213.65,32710065735.0,1291
Tecpetrol,2019,255116.697085,4893080.03046,28802273735.0,87
Tecpetrol,2021,269217.324487,4620431.39782,27197552582.0,109
Pluspetrol,2025,2178422.3023,4058453.31831,23901758504.0,201
YPF,2021,5627825.22,4018070.92,23685764461.0,999
Tecpetrol,2020,204507.403173,4004894.2126,23574093666.0,87
TotalEnergies,2024,291426.517437,3728051.776725738,21945145849.0,115
TotalEnergies,2025,271819.509961,3523767.467608446,20742605048.0,124
Pan American Energy,2024,1307717.575924,3469791.594765,20431418867.0,168
YPF,2019,3663097.91,3427131.58,20195137358.0,813
Pampa,2025,557823.537085,3132064.072723,18438837844.0,73
TotalEnergies,2023,168966.33795000002,3012065.752097078,17730081817.0,104
Pan American Energy,2025,1768820.476886,2967735.105699,17479214721.0,195
Pan American Energy,2023,1102526.944608,2816993.902212,16587761001.0,133
Pampa,2024,76319.89294,2805638.529949,16514468442.0,41
Tecpetrol,2018,144555.044041,2741443.30943,16137044567.0,73
YPF,2020,4049217.43,2724323.23,16060836132.0,848
YPF,2018,2541255.62,2721261.94,16033332257.0,727
Pluspetrol,2024,903698.654,2593841.129,15273033142.0,117
YPF,2026,6175726.93,2244304.97,13248824377.0,1962
TotalEnergies,2022,75173.593198,2223780.714139,13089646122.0,88
Pan American Energy,2022,928674.983328,2097122.438366,12349504043.0,108
Tecpetrol,2026,380977.581416,1874926.228834,11038212132.0,237
TotalEnergies,2020,142696.385643,1777081.23340742,10460797697.0,74
TotalEnergies,2019,143174.250689,1743165.60736571,10261173335.0,70
Pluspetrol,2023,461855.241,1724565.879,10153699832.0,89
YPF,2017,1875710.94,1719805.25,10134571945.0,654
Pampa,2023,4716.5878999999995,1670154.38966,9830558411.0,31
TotalEnergies,2021,114567.878696,1567927.5620578,9229542264.0,78
Pluspetrol,2022,331395.287,1511348.333,8897880761.0,52
Pluspetrol,2026,960376.478,1459118.428,8594411833.0,182
Pampa,2026,361674.319863,1213318.196504,7143865835.0,94
Pluspetrol,2021,322834.84,1203285.679,7084570142.0,36
TotalEnergies,2026,39911.842628,1176057.910198,6922527902.0,107
YPF,2016,1616227.52,1097595.53,6470613357.0,586
Pan American Energy,2026,546645.945057,976748.593557,5752580620.0,206
Pan American Energy,2021,551050.061011,954629.585961,5622415859.0,82
YPF,2015,1167160.03,947234.77,5582765287.0,486
Pluspetrol,2020,225891.76,942480.43,5548860671.0,22
TotalEnergies,2018,43422.942475,680569.4288539999,4006104788.0,53
Pan American Energy,2020,540963.844261,648974.159499,3823264563.0,57
Pan American Energy,2019,332719.762717,629144.884489,3705239600.0,49
Exxonmobil,2020,279883.14,497353.35038,2929182283.0,22
TotalEnergies,2016,22910.083,456218.5915,2685446735.0,29
Vista Energy,2025,3994269.17,438335.837,2605168719.0,231
YPF,2014,855793.37,438761.25,2587931653.0,325
Vista Energy,2024,3504054.121,401384.786,2384591350.0,178
Pan American Energy,2018,156056.003037,373304.37865,2198251166.0,32
Exxonmobil,2019,87769.83,370633.392,2182100218.0,22
Chevron,2025,803466.64,344026.23,2029992198.0,41
Vista Energy,2023,2479151.195888,328538.816696026,1949373334.0,124
Exxonmobil,2021,250640.75,330595.92504,1947464145.0,28
Exxonmobil,2022,438245.45,303552.51,1789466635.0,40
Shell,2022,1678639.04,285631.57,1691786060.0,101
Exxonmobil,2024,369983.79,275695.517,1625071012.0,43
Shell,2025,1746691.56,258701.03,1533700973.0,178
Pampa,2022,0.0,240312.508151,1414479420.0,13
Tecpetrol,2017,14600.854601,236836.88017,1394113715.0,8
TotalEnergies,2017,29591.589048,235113.015097,1384061341.0,33
Exxonmobil,2023,436388.8,233939.72,1379714076.0,38
Vista Energy,2022,1945616.716,230474.903,1368813196.0,96
Pluspetrol,2019,69992.88,230906.279,1359554617.0,22
Shell,2021,885415.82,206108.44,1218723546.0,82
Pampa,2021,0.0,191464.87583,1126962260.0,8
Shell,2024,1764614.14,179313.12,1066536432.0,159
Pampa,2020,8015.415,173568.6369,1021675413.0,7
Chevron,2026,393652.95,172059.413,1015217775.0,45
Shell,2026,645585.83,168115.19,993586754.0,178
TotalEnergies,2015,6744.914,162615.7855,957198941.0,23
YPF,2013,337800.81,161422.61,952258243.0,150
Shell,2023,1657293.24,157266.65,936095875.0,133
Vista Energy,2026,1428037.207,156898.553,932487225.0,252
Vista Energy,2021,1196593.727,148372.428,880846688.0,51
Chevron,2024,314361.92,143205.02009,844882083.0,29
Shell,2020,589493.44,113555.68,672096650.0,51
Pampa,2019,4411.653,100164.04,589593288.0,7
Exxonmobil,2018,115272.26,95657.00952,563762220.0,12
YPF,2012,138937.49,64649.38,381400157.0,50
Chevron,2021,150002.72,63139.967,372585368.0,13
Vista Energy,2020,444251.946,54354.278,322723627.0,35
TotalEnergies,2014,12730.23748,48758.420171,287072135.0,16
Kilwer,2024,656570.88574,46806.573412,279633321.0,35
Shell,2019,270894.33,44868.3,265798734.0,39
Kilwer,2025,601489.07131,43598.200752,260402377.0,43
Exxonmobil,2017,8241.44,42441.30544,249861362.0,10
Chevron,2023,79753.98,36704.54939,216544631.0,21
Vaca,2026,88483.84,36559.69,215746898.0,26
Chevron,2022,89235.04,35594.6924,210071647.0,13
Vista Energy,2019,264724.833,31887.952,189357604.0,19
O&g,2018,228733.72678291664,31644.36114022936,187697442.0,27
Vaca,2025,70156.99,29463.52,173863565.0,26
Kilwer,2023,403946.10957000003,28592.434262,170835897.0,27
Petrobras,2018,0.0,28234.05662,166185657.0,3
Exxonmobil,2025,31918.42,26814.55,158031208.0,43
YPF,2011,51218.88,22366.25,131969909.0,22
Pampa,2018,0.0,18094.499,106504220.0,3
Wintershall,2018,44556.859,17095.74975,100905840.0,12
Wintershall,2019,52510.682,14587.903,86194690.0,14
O&g,2017,141198.19,14223.3499,84606776.0,22
Petrolera,2025,255328.682645872,13919.324354234,83535163.0,56
Phoenix,2026,204497.61919,12591.058042,75397254.0,59
TotalEnergies,2013,8094.531300000001,12691.45313,74752811.0,11
Petrolera,2026,184776.19384873,11588.234293348,69370588.0,60
Tecpetrol,2016,472.046999,11143.345,65592697.0,3
Capex,2025,117918.91,10054.28,59921208.0,19
Kilwer,2022,124964.8543,9604.0525,57315479.0,15
Petrobras,2017,140.022,9534.684182,56122030.0,3
TotalEnergies,2012,2277.8514,9479.2285,55809067.0,5
Tecpetrol,2015,404.73400899999996,9360.76031,55099979.0,2
Petrobras,2014,3004.5280000000002,9319.108,54871170.0,2
Wintershall,2020,64998.09,8006.908,47537498.0,14
Pan American Energy,2017,27142.925457,7924.598913,46814918.0,14
Exxonmobil,2014,22670.57,6923.806,40896120.0,2
O&g,2015,61772.67,6814.07,40496168.0,12
O&g,2019,40514.72502162476,6771.228273620447,40110287.0,23
Wintershall,2017,27525.63,6744.4,39870677.0,9
Pluspetrol,2018,8255.02,6661.23,39259927.0,10
Chevron,2014,7260.9,6568.532,38708052.0,4
Wintershall,2021,40959.46,5808.24,34444937.0,14
Capex,2024,68211.52,5767.41,34376029.0,14
Petrobras,2015,2449.415,5442.0459,32047288.0,2
Americas,2017,17738.416,5314.904,31395100.0,5
