rank,pozo_id,empresa_grupo,formacion,petroleo_total_m3,gas_total_mm3,boe_acumulado,meses_activo,primer_mes,ultimo_mes
1,160306,Tecpetrol,VACA MUERTA,14042.713772,633618.54823,3729567106.0,88,2019-03-01,2026-06-01
2,159673,Tecpetrol,VACA MUERTA,21682.474194,531463.7421,3128331965.0,94,2018-09-01,2026-06-01
3,162597,Tecpetrol,VACA MUERTA,13453.705173,529034.3188,3113980624.0,59,2021-08-01,2026-06-01
4,162835,TotalEnergies,VACA MUERTA,0.0,523475.76313,3081178341.0,56,2021-11-01,2026-06-01
5,160308,Tecpetrol,VACA MUERTA,10982.568663,511517.71898,3010862367.0,88,2019-03-01,2026-06-01
6,162319,Tecpetrol,VACA MUERTA,12508.498099,510039.43330000003,3002170787.0,62,2021-05-01,2026-06-01
7,162321,Tecpetrol,VACA MUERTA,12075.705318,498790.3465,2935955934.0,62,2021-05-01,2026-06-01
8,163435,TotalEnergies,VACA MUERTA,0.0,485057.799,2855050204.0,48,2022-07-01,2026-06-01
9,157970,YPF,VACA MUERTA,65.71000000000001,472696.39999999997,2782291424.0,111,2017-04-01,2026-06-01
10,160307,Tecpetrol,VACA MUERTA,10091.135645,466132.91730000003,2743721829.0,88,2019-03-01,2026-06-01
11,158890,YPF,VACA MUERTA,0.0,466028.26,2743042339.0,102,2018-01-01,2026-06-01
12,162450,Pampa Energía,VACA MUERTA,0.005,463258.4373,2726739162.0,59,2021-07-01,2026-05-01
13,163188,Pan American Energy,VACA MUERTA,0.0,461787.415,2718080723.0,50,2022-04-01,2026-05-01
14,163294,Tecpetrol,VACA MUERTA,10512.12017,454072.055,2672734235.0,49,2022-06-01,2026-06-01
15,159669,Tecpetrol,VACA MUERTA,9714.633966,448650.6259,2640818686.0,94,2018-09-01,2026-06-01
16,162914,Pan American Energy,VACA MUERTA,0.0,444661.308,2617276459.0,54,2021-12-01,2026-05-01
17,162399,YPF,VACA MUERTA,76.24,440596.16,2593349476.0,61,2021-06-01,2026-06-01
18,160950,Tecpetrol,VACA MUERTA,67221.74513,419143.0572,2467498856.0,84,2019-04-01,2026-06-01
19,160466,Tecpetrol,VACA MUERTA,43791.07288,416615.8089,2452476092.0,87,2019-04-01,2026-06-01
20,162122,Tecpetrol,VACA MUERTA,35962.4724,414944.9543,2442592206.0,65,2021-02-01,2026-06-01
21,163436,TotalEnergies,VACA MUERTA,0.0,407153.79,2396507208.0,48,2022-07-01,2026-06-01
22,164215,Pan American Energy,VACA MUERTA,0.0,401940.711,2365823022.0,38,2023-04-01,2026-05-01
23,160577,Tecpetrol,VACA MUERTA,9029.434085,400016.8851,2354556188.0,85,2019-06-01,2026-06-01
24,160463,Tecpetrol,VACA MUERTA,43666.20115,399892.7612,2354043454.0,87,2019-04-01,2026-06-01
25,159512,Pan American Energy,VACA MUERTA,0.0,399748.5258,2352919826.0,95,2018-07-01,2026-05-01
26,163189,Pan American Energy,VACA MUERTA,0.0,393541.3195,2316384203.0,50,2022-04-01,2026-05-01
27,159675,Tecpetrol,VACA MUERTA,20854.488166,390149.21743,2296549469.0,94,2018-09-01,2026-06-01
28,160462,TotalEnergies,VACA MUERTA,5064.06544,384763.39139,2264749170.0,87,2019-04-01,2026-06-01
29,163182,Pan American Energy,VACA MUERTA,0.0,383740.92556,2258699089.0,50,2022-04-01,2026-05-01
30,163038,TotalEnergies,VACA MUERTA,0.0,383679.015,2258334687.0,53,2022-02-01,2026-06-01
31,164588,Pan American Energy,VACA MUERTA,0.0,381771.402,2247106472.0,34,2023-08-01,2026-05-01
32,163545,TotalEnergies,VACA MUERTA,0.0,380281.166,2238334944.0,47,2022-08-01,2026-06-01
33,163797,TotalEnergies,VACA MUERTA,5454.50168,377752.385,2223484848.0,44,2022-11-01,2026-06-01
34,163221,TotalEnergies,VACA MUERTA,0.0,376649.925,2216961459.0,50,2022-05-01,2026-06-01
35,158752,YPF,VACA MUERTA,0.0,373704.49,2199624633.0,103,2017-12-01,2026-06-01
36,158891,YPF,VACA MUERTA,50.22,370430.62,2180354948.0,102,2018-01-01,2026-06-01
37,158750,YPF,VACA MUERTA,0.0,367716.6,2164379909.0,103,2017-12-01,2026-06-01
38,162398,YPF,VACA MUERTA,93.44,367313.43,2162007440.0,61,2021-06-01,2026-06-01
39,157969,YPF,VACA MUERTA,27.19,367117.42,2160853308.0,111,2017-04-01,2026-06-01
40,163546,TotalEnergies,VACA MUERTA,0.0,366333.596,2156239545.0,47,2022-08-01,2026-06-01
41,163399,Tecpetrol,VACA MUERTA,23819.6645,366143.703,2155271664.0,48,2022-07-01,2026-06-01
42,160205,Tecpetrol,VACA MUERTA,7942.149672,363156.1915,2137587301.0,90,2019-01-01,2026-06-01
43,162908,Pan American Energy,VACA MUERTA,0.0,362580.804,2134150612.0,54,2021-12-01,2026-05-01
44,159964,Tecpetrol,VACA MUERTA,7713.473904,357753.547737,2105785898.0,93,2018-10-01,2026-06-01
45,163322,YPF,VACA MUERTA,90.57,356932.45,2100904969.0,49,2022-06-01,2026-06-01
46,165333,Pampa Energía,VACA MUERTA,0.0,354578.742,2087050474.0,25,2024-05-01,2026-05-01
47,159219,YPF,VACA MUERTA,1928.53,353745.7,2082159322.0,99,2018-04-01,2026-06-01
48,163700,Pampa Energía,VACA MUERTA,0.0,353405.5282,2080144941.0,44,2022-10-01,2026-05-01
49,162836,TotalEnergies,VACA MUERTA,0.0,353252.28089,2079242927.0,56,2021-11-01,2026-06-01
50,162121,Tecpetrol,VACA MUERTA,28358.78542,352253.9698,2073545244.0,65,2021-02-01,2026-06-01
