anio,empresa_grupo,boe,market_share_pct,anio_parcial
2006,Petrobras,18358.0,83.32,False
2006,Petrolera,3676.0,16.68,False
2006,Kilwer,0.0,0.0,False
2006,Tecpetrol,0.0,0.0,False
2006,YPF,0.0,0.0,False
2007,Capex,32859.0,60.3,False
2007,Petrobras,15018.0,27.56,False
2007,Petrolera,6615.0,12.14,False
2007,Kilwer,0.0,0.0,False
2007,Tecpetrol,0.0,0.0,False
2007,TotalEnergies,0.0,0.0,False
2007,YPF,0.0,0.0,False
2008,Petrolera,40123.0,74.42,False
2008,Capex,13790.0,25.58,False
2008,Kilwer,0.0,0.0,False
2008,Tecpetrol,0.0,0.0,False
2008,TotalEnergies,0.0,0.0,False
2008,YPF,0.0,0.0,False
2009,Petrolera,56161.0,81.09,False
2009,Capex,13099.0,18.91,False
2009,Kilwer,0.0,0.0,False
2009,Tecpetrol,0.0,0.0,False
2009,TotalEnergies,0.0,0.0,False
2010,Petrolera,65813.0,67.93,False
2010,YPF,20208.0,20.86,False
2010,Capex,10857.0,11.21,False
2010,Gas y Petróleo Nqn,0.0,0.0,False
2010,Kilwer,0.0,0.0,False
2010,Tecpetrol,0.0,0.0,False
2010,TotalEnergies,0.0,0.0,False
2011,YPF,453807.0,86.18,False
2011,Petrolera,61672.0,11.71,False
2011,Capex,9725.0,1.85,False
2011,Roch,1397.0,0.27,False
2011,ExxonMobil,0.0,0.0,False
2011,Kilwer,0.0,0.0,False
2011,Tecpetrol,0.0,0.0,False
2011,TotalEnergies,0.0,0.0,False
2012,YPF,1254415.0,84.16,False
2012,TotalEnergies,70122.0,4.7,False
2012,Petrolera,42249.0,2.83,False
2012,Pluspetrol,30728.0,2.06,False
2012,Medanito,29957.0,2.01,False
2012,Pan American Energy,27262.0,1.83,False
2012,Roch,13327.0,0.89,False
2012,Capex,11998.0,0.8,False
2012,Americas Petrogas,10393.0,0.7,False
2012,Tecpetrol,101.0,0.01,False
2012,ExxonMobil,0.0,0.0,False
2012,O&G Developments,0.0,0.0,False
2013,YPF,3074843.0,85.75,False
2013,TotalEnergies,125615.0,3.5,False
2013,O&G Developments,111269.0,3.1,False
2013,Petrolera,57590.0,1.61,False
2013,Pluspetrol,54794.0,1.53,False
2013,Medanito,36261.0,1.01,False
2013,Chevron,34457.0,0.96,False
2013,Americas Petrogas,31472.0,0.88,False
2013,Capex,27148.0,0.76,False
2013,Pan American Energy,17137.0,0.48,False
2013,Roch,7310.0,0.2,False
2013,Gas y Petróleo Nqn,4548.0,0.13,False
2013,Tecpetrol,3439.0,0.1,False
2013,Apache,0.0,0.0,False
2013,ExxonMobil,0.0,0.0,False
2013,Petrobras,0.0,0.0,False
2014,YPF,7965347.0,87.23,False
2014,TotalEnergies,367063.0,4.02,False
2014,O&G Developments,225547.0,2.47,False
2014,ExxonMobil,183348.0,2.01,False
2014,Chevron,84331.0,0.92,False
2014,Petrobras,73750.0,0.81,False
2014,Petrolera,62473.0,0.68,False
2014,Pluspetrol,55470.0,0.61,False
2014,Americas Petrogas,31125.0,0.34,False
2014,Capex,22443.0,0.25,False
2014,Medanito,23095.0,0.25,False
2014,Wintershall,18438.0,0.2,False
2014,Tecpetrol,11372.0,0.12,False
2014,Pan American Energy,5086.0,0.06,False
2014,Argenta,784.0,0.01,False
2014,Grecoil,884.0,0.01,False
2014,Apache,0.0,0.0,False
2014,Roch,443.0,0.0,False
2015,YPF,12916610.0,87.18,False
2015,TotalEnergies,999584.0,6.75,False
2015,O&G Developments,428640.0,2.89,False
2015,ExxonMobil,115596.0,0.78,False
2015,Petrolera,80058.0,0.54,False
2015,Tecpetrol,57641.0,0.39,False
2015,Pluspetrol,55423.0,0.37,False
2015,Petrobras,47437.0,0.32,False
2015,Pan American Energy,23914.0,0.16,False
2015,Chevron,22804.0,0.15,False
2015,Capex,18482.0,0.12,False
2015,Americas Petrogas,13596.0,0.09,False
2015,Medanito,13959.0,0.09,False
2015,Grecoil,9120.0,0.06,False
2015,Wintershall,8600.0,0.06,False
2015,Roch,5036.0,0.03,False
2015,Argenta,0.0,0.0,False
2016,YPF,16626190.0,82.89,False
