pozo_id,empresa_grupo,formacion,fase_ajustada,anio_inicio,qi,di_anual_pct,b_factor,eur_nativo,eur_boe,np_actual_nativo,factor_recup_pct,r2,n_meses_ajuste,meses_hasta_pico,calidad_fit
166587,Pampa Energía,VACA MUERTA,GAS,2025,19872.1,6.8,0.01,2627575.9,15465912.0,257390.5,9.8,0.0166,12,2,DESCARTADO
166586,Pampa Energía,VACA MUERTA,GAS,2025,19359.5,2.3,2.0,2570822.6,15131862.0,256735.0,10.0,0.0015,12,2,DESCARTADO
166588,Pampa Energía,VACA MUERTA,GAS,2025,18364.7,0.4,2.0,2419385.9,14240505.0,240558.9,9.9,0.0,13,1,DESCARTADO
165333,Pampa Energía,VACA MUERTA,GAS,2024,24030.1,88.2,1.949,1305927.7,7686690.0,369038.8,28.3,0.7355,14,13,BUENO
166476,Pan American Energy,VACA MUERTA,GAS,2025,23944.7,87.2,2.0,1253928.2,7380621.0,245490.5,19.6,0.6804,11,5,REGULAR
164588,Pan American Energy,VACA MUERTA,GAS,2023,20176.2,74.5,1.984,1211571.9,7131312.0,392697.0,32.4,0.7041,33,3,BUENO
163545,TotalEnergies,VACA MUERTA,GAS,2022,15454.1,61.1,2.0,1193378.7,7024227.0,388341.5,32.5,0.5949,24,24,REGULAR
163294,Tecpetrol,VACA MUERTA,GAS,2022,18485.6,68.3,2.0,1177075.0,6928263.0,459523.8,39.0,0.5233,48,2,REGULAR
163188,Pan American Energy,VACA MUERTA,GAS,2022,17166.9,63.9,2.0,1171226.4,6893839.0,472011.1,40.3,0.5037,49,3,REGULAR
164629,Pampa Energía,VACA MUERTA,GAS,2023,11869.6,32.2,2.0,1146245.0,6746798.0,302934.7,26.4,0.2018,31,4,DESCARTADO
164097,Tecpetrol,VACA MUERTA,GAS,2023,9792.0,23.0,2.0,1106050.6,6510214.0,304106.0,27.5,-0.1177,35,6,DESCARTADO
166479,Pan American Energy,VACA MUERTA,GAS,2025,17058.6,71.1,2.0,1076116.9,6334024.0,199601.1,18.5,0.9556,13,4,BUENO
164498,Tecpetrol,VACA MUERTA,GAS,2023,12175.1,45.1,2.0,1064299.0,6264464.0,314484.9,29.5,0.17,27,10,DESCARTADO
164099,Tecpetrol,VACA MUERTA,GAS,2023,11369.2,39.2,2.0,1047573.5,6166018.0,321535.6,30.7,-0.116,35,6,DESCARTADO
166271,TotalEnergies,VACA MUERTA,GAS,2025,10628.6,32.1,2.0,1035129.8,6092774.0,145420.7,14.0,0.1878,12,6,DESCARTADO
162914,Pan American Energy,VACA MUERTA,GAS,2021,16897.7,79.3,2.0,1018151.3,5992839.0,452378.7,44.4,0.7529,49,7,BUENO
164628,Pampa Energía,VACA MUERTA,GAS,2023,11495.2,39.0,2.0,1012589.3,5960101.0,275833.3,27.2,0.2967,32,3,DESCARTADO
164053,Tecpetrol,VACA MUERTA,GAS,2023,8177.6,18.4,2.0,990663.9,5831048.0,275504.8,27.8,-0.0596,35,7,DESCARTADO
162836,TotalEnergies,VACA MUERTA,GAS,2021,8343.8,18.2,2.0,969972.9,5709260.0,358148.9,36.9,0.1529,55,2,DESCARTADO
162321,Tecpetrol,VACA MUERTA,GAS,2021,21618.2,78.9,1.465,966492.0,5688772.0,503388.2,52.1,0.748,60,3,BUENO
164155,Pampa Energía,VACA MUERTA,GAS,2023,14404.5,69.0,2.0,955164.8,5622100.0,335577.0,35.1,0.2924,35,5,DESCARTADO
164235,Pluspetrol,VACA MUERTA,GAS,2023,14201.8,67.4,2.0,953017.0,5609458.0,314457.6,33.0,0.3084,32,7,DESCARTADO
162399,YPF,VACA MUERTA,GAS,2021,17411.2,81.6,2.0,948777.8,5584506.0,443017.9,46.7,0.2701,60,2,DESCARTADO
166490,Pan American Energy,VACA MUERTA,GAS,2025,18574.4,89.7,2.0,945308.5,5564086.0,198344.6,21.0,0.3134,11,5,DESCARTADO
166644,Pan American Energy,VACA MUERTA,PETROLEO,2025,8054.3,24.2,2.0,879340.4,5530875.0,80376.9,9.1,0.5819,6,8,REGULAR
165335,Pampa Energía,VACA MUERTA,GAS,2024,24078.5,80.8,1.134,938453.9,5523740.0,364767.2,38.9,0.687,14,13,REGULAR
164717,Pampa Energía,VACA MUERTA,GAS,2023,11648.8,48.0,2.0,926420.8,5452913.0,262109.9,28.3,0.3626,32,2,DESCARTADO
162835,TotalEnergies,VACA MUERTA,GAS,2021,15320.9,30.0,0.441,918309.1,5405167.0,528708.0,57.6,0.8642,48,9,BUENO
164234,Pluspetrol,VACA MUERTA,GAS,2023,7850.1,24.5,2.0,907602.1,5342146.0,259427.7,28.6,0.0475,27,12,DESCARTADO
