cohorte,mes_vida,pozos_en_muestra,petroleo_prom_m3,gas_prom_mm3,boe_prom
2006,0,101,2.1,0.2,967.9
2006,1,101,2.7,0.2,931.0
2006,2,101,3.1,0.2,1189.9
2006,3,101,2.7,0.2,1189.5
2006,4,101,2.9,0.2,1136.3
2006,5,101,3.0,0.2,1027.5
2006,6,101,1.9,0.2,1025.4
2006,7,101,2.7,0.2,1233.0
2006,8,101,3.2,0.2,1234.5
2006,9,101,3.3,0.2,1059.6
2006,10,101,2.5,0.2,1064.4
2006,11,101,3.2,0.2,1077.4
2006,12,101,2.8,0.2,936.4
2006,13,101,2.5,0.2,948.1
2006,14,101,2.3,0.2,1022.6
2006,15,101,2.9,0.2,906.2
2006,16,101,2.3,0.1,803.6
2006,17,101,2.5,0.1,870.1
2006,18,101,2.4,0.2,991.3
2006,19,101,2.6,0.2,1215.6
2006,20,101,2.6,0.2,1255.9
2006,21,101,3.0,0.2,1232.5
2006,22,101,3.0,0.2,1280.6
2006,23,101,3.0,0.2,1364.7
2006,24,101,3.2,0.2,1223.5
2006,25,101,2.6,0.2,1028.2
2006,26,101,2.8,0.2,1045.8
2006,27,101,1.9,0.0,173.0
2006,28,101,0.8,0.0,161.8
2006,29,101,4.6,0.3,1752.2
2006,30,101,5.1,0.4,2107.5
2006,31,101,5.7,0.7,4111.6
2006,32,9,54.0,3.7,22146.6
2006,33,9,103.2,8.2,48921.0
2006,34,9,108.0,9.3,55388.7
2006,35,9,93.1,9.5,56505.9
2006,36,9,97.4,10.8,63937.9
2006,37,9,89.2,10.1,59811.8
2006,38,9,79.1,8.6,50958.8
2006,39,9,72.4,10.4,61581.4
2006,40,9,72.3,10.9,64383.4
2006,41,9,67.4,10.6,62759.9
2006,42,9,58.3,11.1,65421.7
2006,43,9,68.0,14.4,85201.7
2006,44,9,63.8,11.7,69232.7
2006,45,9,76.5,12.6,74429.4
2006,46,9,63.8,11.4,67652.7
2006,47,9,64.1,7.2,43057.2
2006,48,9,69.4,8.3,49356.0
2006,49,9,62.0,8.7,51715.8
2006,50,9,67.6,8.3,48996.0
2006,51,9,65.8,7.2,42872.0
2006,52,9,59.5,7.3,43412.6
2006,53,9,59.5,9.1,53676.0
2006,54,10,72.8,34.7,204650.8
2006,55,10,133.4,47.0,277264.2
2006,56,10,128.2,47.8,282016.8
2006,57,10,114.3,44.5,262786.4
2006,58,11,132.4,43.5,256802.2
2006,59,11,139.0,27.2,160861.8
2006,60,11,127.3,33.9,200532.8
2006,61,13,123.5,20.7,122895.3
2006,62,13,168.4,27.9,165138.6
2006,63,14,170.7,29.5,174909.4
2006,64,15,183.2,44.0,259931.0
2006,65,16,129.0,44.0,259889.6
2006,66,18,137.5,40.6,239571.7
2006,67,20,300.4,139.8,824518.6
2006,68,20,451.1,242.4,1429614.6
2006,69,21,384.5,223.8,1319805.0
2006,70,23,372.8,153.6,906476.9
2006,71,27,342.9,134.8,795801.7
2006,72,30,328.2,144.6,853029.8
2006,73,30,339.9,163.1,962119.5
2006,74,35,322.3,144.4,851785.1
2006,75,37,301.4,130.1,767517.2
2006,76,38,303.2,120.5,711211.7
2006,77,40,305.2,123.0,725973.9
2006,78,43,268.0,116.3,686122.3
2006,79,43,301.5,119.2,703510.4
2006,80,45,289.5,124.4,733786.1
2006,81,45,277.7,127.6,752862.4
2006,82,46,213.0,85.4,504011.3
2006,83,48,228.1,100.0,590253.0
2006,84,52,246.6,126.5,746224.6
2006,85,55,238.8,126.6,746646.0
2006,86,61,261.8,145.3,856692.8
2006,87,65,287.5,162.2,956324.3
2006,88,70,286.2,145.1,855809.2
2006,89,83,277.5,126.2,744597.4
2006,90,88,339.4,142.5,840638.0
2006,91,93,324.2,146.7,865262.2
2006,92,101,306.5,145.2,856364.5
2006,93,101,337.2,152.6,900538.6
2006,94,101,304.1,150.9,890335.3
2006,95,101,287.9,142.0,837793.1
2006,96,101,255.8,129.4,763306.3
2006,97,101,211.7,104.8,618478.9
2006,98,101,218.4,116.1,684677.1
2006,99,101,205.5,119.1,702254.3
2006,100,101,199.0,106.6,628929.3
2006,101,101,175.7,90.5,533903.3
2006,102,101,153.6,85.2,502223.1
2006,103,101,144.1,85.9,506271.2
2006,104,101,156.6,94.4,556737.8
2006,105,101,155.0,93.3,550272.2
2006,106,101,140.9,90.4,532704.2
2006,107,101,137.5,76.9,453624.3
2006,108,101,133.4,73.2,431706.9
2006,109,101,114.4,71.7,422937.5
2006,110,101,120.2,79.3,467466.0
2006,111,101,122.6,78.1,460536.3
2006,112,101,114.4,67.2,396533.8
2006,113,100,110.6,71.5,421260.6
2006,114,101,111.6,67.6,398357.3
2006,115,101,112.5,65.5,386329.9
2006,116,101,100.7,61.8,364486.1
2006,117,101,87.6,57.0,336264.6
2006,118,101,77.3,45.6,268680.5
2006,119,101,79.2,46.5,274408.1
2006,120,101,77.0,45.8,270284.7
2010,0,7,0.0,0.0,0.0
2010,1,7,0.0,0.0,0.0
2010,2,7,0.0,0.0,0.0
2010,3,7,0.0,0.0,0.0
2010,4,7,0.0,0.0,0.0
2010,5,7,0.0,0.0,0.0
2010,6,7,0.0,0.0,0.0
2010,80,5,29.6,8.9,52842.2
2010,81,5,2.0,0.0,12.4
2010,82,5,315.7,38.4,227961.0
2010,83,5,436.4,57.5,341149.8
2010,84,7,174.9,24.7,146635.4
2010,85,7,172.5,21.4,127339.4
2010,86,7,505.7,65.4,388301.7
2010,87,7,531.1,75.8,449735.0
2010,88,7,431.3,65.1,386161.4
2010,89,7,328.0,51.0,302195.4
2010,90,7,298.3,46.9,278006.4
2010,91,7,265.5,41.8,247660.1
2010,92,7,222.6,36.1,213815.1
2010,93,7,228.2,36.1,213735.4
2010,94,7,187.5,29.8,176687.0
2010,95,7,201.3,31.6,186972.1
2010,96,7,187.9,29.4,174079.6
2010,97,7,158.6,25.1,148749.9
2010,98,7,173.8,27.2,161074.0
2010,99,7,121.7,20.4,120756.0
2010,100,7,110.6,16.4,97013.9
2010,101,7,124.4,20.4,121058.3
2010,102,7,39.9,6.5,38466.0
2010,103,7,0.0,0.0,0.0
2010,104,7,0.0,0.0,0.0
2010,105,7,0.0,0.0,0.0
2010,106,7,0.0,0.0,0.0
2010,107,7,0.0,0.0,0.0
2010,108,7,0.0,0.0,0.0
2010,109,7,0.0,0.0,0.0
2010,110,7,0.0,0.0,0.0
2010,111,7,0.0,0.0,0.0
2010,112,7,0.0,0.0,0.0
2010,113,7,0.0,0.0,0.0
2010,114,7,30.1,4.3,25474.1
2010,115,7,39.3,3.3,19670.9
2010,116,7,30.1,2.7,16224.4
2010,117,7,15.8,1.3,7708.3
2010,118,7,1.2,0.1,713.7
2010,119,7,0.0,0.0,0.0
2010,120,7,0.0,0.0,0.0
2011,0,6,88.3,14.2,83960.2
2011,1,6,131.7,9.1,54606.8
2011,2,6,146.5,34.0,201045.3
2011,3,6,179.3,42.8,253333.0
2011,4,6,93.0,31.6,186297.8
2011,5,6,56.4,21.7,128228.0
